Age,Candidate,Constituency_Name,Constituency_No,Constituency_Type,Contested,DelimID,Deposit_Lost,District_Name,ENOP,Electors,Incumbent,Last_Constituency_Name,Last_Party_ID,Margin,Votes,Margin_Percentage,MyNeta_education,N_Cand,No_Terms,Party,Party_ID,Party_Type_TCPD,Poll_No,Position,Recontest,Same_Constituency,Same_Party,Sex,Sub_Region,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc,Turncoat,Turnout_Percentage,Valid_Votes,Vote_Share_Percentage,Votes,last_poll,pid,username,id,displayname,description,verified,created,followersCount,friendsCount,statusesCount,favouritesCount,listedCount,mediaCount,location,protected,profileImageUrl,profileBannerUrl,username,party,district_code
32,Suchi,BIJNOR,22,GEN,2,4,no,BIJNOR,3.03,392744,TRUE,BIJNOR,1605,1445,97165,0.57,Post Graduate,13,2,BJP,1605,National Party,0,1,TRUE,TRUE,TRUE,F,ROHILKHAND,Business,,Politics,MLA,FALSE,64.2,252142,38.54,97165,TRUE,AEUP200051,mlasuchibjp,1369951431659118592,Suchi Mausam Chaudhary,,TRUE,2021-03-11T10:00:59+00:00,1984,297,929,2235,0,390,Bijnor,FALSE,https://pbs.twimg.com/profile_images/1492499151443034119/DGyjHGAn_normal.jpg,https://pbs.twimg.com/profile_banners/1369951431659118592/1632791474,mlasuchibjp,bjp,BIJ
55,KAMLESH SAINI,CHANDPUR,23,GEN,2,4,no,BIJNOR,2.86,326504,TRUE,CHANDPUR,1605,52929,90288,23.59,Post Graduate,10,1,BJP,1605,National Party,0,2,TRUE,TRUE,TRUE,F,ROHILKHAND,Agriculture,,,,FALSE,68.72,224374,40.24,90288,TRUE,AEUP102298,KamleshSainiMLA,711591777598361607,MLA Kamlesh Saini,"विधायक 23-विधानसभा चाँदपुर बिजनौर (उ.प्र.), पूर्व क्षेत्रीय उपाध्यक्ष भारतीय जनता पार्टी पश्चिम उत्तर प्रदेश, पूर्व सदस्य जिला पंचायत",TRUE,2016-03-20T16:34:35+00:00,2514,430,1691,2431,1,240,"Chandpur, Uttar Pradesh",FALSE,https://pbs.twimg.com/profile_images/1482807504740679680/ECEQ5714_normal.jpg,https://pbs.twimg.com/profile_banners/711591777598361607/1642415828,https://twitter.com/KamleshSainiMLA,bjp,BIJ
28,UDAY TYAGI,CHANDPUR,23,GEN,1,4,yes,BIJNOR,2.86,326504,FALSE,,,630,1484,0.28,Graduate,10,0,INC,3482,National Party,0,5,FALSE,,,M,ROHILKHAND,Other,,,,FALSE,68.72,224374,0.66,1484,TRUE,AEUP2025439,MaicalTyagi,1193191449111625730,Uday Tyagi MAICAL,"@INCIndia Candidate from 23 - Chandpur, Bijnor || Former District President, @nsui",FALSE,2019-11-09T15:40:21+00:00,457,24,4307,4939,0,307,"Bijnor, India",FALSE,https://pbs.twimg.com/profile_images/1486760130465075208/fyzqhjA6_normal.jpg,https://pbs.twimg.com/profile_banners/1193191449111625730/1643610462,MaicalTyagi,inc,BIJ
50,VIJAY PAL SINGH,CHANDPUR,23,GEN,1,4,yes,BIJNOR,2.86,326504,FALSE,,,35,426,0.02,12th Pass,10,0,IND,10809,Independents,0,8,FALSE,,,M,ROHILKHAND,Agriculture,,,,FALSE,68.72,224374,0.19,426,TRUE,AEUP2025430,MLAVijayPalSin,1447822478965805056,MLA Vijay Pal Singh,सदर विधायक हापुड़,TRUE,2021-10-12T07:12:54+00:00,198,1265,586,414,0,475,,FALSE,https://pbs.twimg.com/profile_images/1490531958484463622/tzAJtDXp_normal.jpg,https://pbs.twimg.com/profile_banners/1447822478965805056/1642672469,MLAVijayPalSin,aap,HAP
54,NAVAB JAN,THAKURDWARA,26,GEN,4,4,no,MORADABAD,2.38,373250,TRUE,THAKURDWARA,7425,19684,134391,7.14,8th Pass,10,3,SP,7425,State-based Party,0,1,TRUE,TRUE,TRUE,M,ROHILKHAND,Business,,Agriculture,,FALSE,73.84,275608,48.76,134391,TRUE,AEUP100525,nawabjankhan,876219869674582016,Nawabjan Khan MLA,"Member of Legislative Assembly , Samajwadi Party , Uttar Pradesh 
Official Twitter Account",FALSE,2017-06-17T23:27:51+00:00,235,337,399,1027,0,27,"Moradabad, India",FALSE,https://pbs.twimg.com/profile_images/1261615288212062208/cLaxSPAq_normal.jpg,https://pbs.twimg.com/profile_banners/876219869674582016/1522861756,nawabjankhan,sp,MOR
44,RIZWAN QURESHI,MORADABAD,28,GEN,1,4,yes,MORADABAD,2.38,530777,FALSE,,,2690,5351,0.84,Graduate,10,0,INC,3482,National Party,0,4,FALSE,,,M,ROHILKHAND,Business,,,,FALSE,60.61,321704,1.66,5351,TRUE,AEUP2025495,hajirizwan0786,1003804940102275072,Haji Mohd Rizwan Qureshi,"कांग्रेस प्रत्याशी 28 नगर मुरादाबाद,मेम्बर ऑल इंडिया कांग्रेस कमेटी एवं चेयरमैन गुरुकुल आइ०टी॰आइ",FALSE,2018-06-05T01:05:22+00:00,121,19,116,100,0,73,"Moradabad, India",FALSE,https://pbs.twimg.com/profile_images/1486553069143822337/gkFkStwb_normal.jpg,https://pbs.twimg.com/profile_banners/1003804940102275072/1644519822,hajirizwan0786,inc,MOR
41,MOHAMMAD FAHEEM IRFAN,BILARI,30,GEN,1,4,no,MORADABAD,3.12,359921,FALSE,,,7610,95338,3.19,Graduate Professional,7,1,SP,7425,State-based Party,0,1,FALSE,,,M,ROHILKHAND,Agriculture,,,,FALSE,66.36,238844,39.92,95338,TRUE,AEUP2025512,MohdMla,1040583182998024192,Mohd Faheem Irfan Mla,"MLA from 
BILARI  (MORADABAD)",TRUE,2018-09-14T12:48:58+00:00,15553,1517,924,1610,6,478,"Moradabad, India",FALSE,https://pbs.twimg.com/profile_images/1040587046862110720/SnbTzsQf_normal.jpg,https://pbs.twimg.com/profile_banners/1040583182998024192/1553507494,MohdMla,sp,MOR
67,PARMESHWAR LAL,BILARI,30,GEN,1,4,no,MORADABAD,3.12,359921,FALSE,,,45317,87728,18.97,10th Pass,7,0,BJP,1605,National Party,0,2,FALSE,,,M,ROHILKHAND,Business,Rent,Retired or Pension,,FALSE,66.36,238844,36.73,87728,TRUE,AEUP2025513,bjpparmeshwar,1019201036819447808,Parmeshwar Lal Saini,"पूर्व MLC विधायक उत्तर प्रदेश, लोकसभा 08 सम्भल पूर्व सांसद प्रत्याशी भाजपा, प्रदेश उपाध्यक्ष पिछड़ा वर्ग मोर्चा उत्तर प्रदेश भाजपा",FALSE,2018-07-17T12:43:57+00:00,699,202,224,190,1,194,"Chandausi, India",FALSE,https://pbs.twimg.com/profile_images/1068760694336585728/o3Oo5A42_normal.jpg,https://pbs.twimg.com/profile_banners/1019201036819447808/1596595652,bjpparmeshwar,bjp,MOR
53,RAJESH SINGHAL,SAMBHAL,33,GEN,3,4,no,BHEEM NAGAR,3.33,380442,FALSE,SAMBHAL,1605,20933,65376,8.55,Graduate,11,0,BJP,1605,National Party,0,2,FALSE,TRUE,TRUE,M,ROHILKHAND,Agriculture,,,,FALSE,64.36,244853,26.7,65376,TRUE,AEUP66316,Rajeshsinghal_,1329610059463094272,rajesh singhal bjp sambhal,"क्षेत्रीय उपाध्यक्ष, भाजपा पश्चिम उत्तर प्रदेश
पूर्व जिला अध्यक्ष भाजपा सम्भल",FALSE,2020-11-20T02:19:16+00:00,313,63,33,36,1,29,"Sambhal, India",FALSE,https://pbs.twimg.com/profile_images/1329610382403534849/Qv7Hkzzi_normal.jpg,https://pbs.twimg.com/profile_banners/1329610059463094272/1608872533,Rajeshsinghal_,bjp,SAM
38,ZAHID,SAMBHAL,33,GEN,1,4,yes,BHEEM NAGAR,3.33,380442,FALSE,,,0,257,0,10th Pass,11,0,SHS,18691,State-based Party,0,12,FALSE,,,M,ROHILKHAND,Small Business or Self-employed,Shop Keeper,,,FALSE,64.36,244853,0.1,257,TRUE,AEUP2025543,zahidbegsp,1109931022643191808,Zahid Beg (पूर्व विधायक भदोही),"पूर्व विधायक, सदर भदोही,  जनपद- भदोही,  (समाजवादी पार्टी)",FALSE,2019-03-24T21:32:32+00:00,876,79,1761,3594,1,600,"Bhadohi, India",FALSE,https://pbs.twimg.com/profile_images/1377444085573722116/j7NBfkzP_normal.jpg,https://pbs.twimg.com/profile_banners/1109931022643191808/1613385480,zahidbegsp,sp,BDH
31,Mohammad Abdullah Azam Khan,SUAR TANDA,34,GEN,2,4,no,RAMPUR,2.27,307990,TRUE,SUAR TANDA,7425,61103,126162,28.67,Post Graduate,10,2,SP,7425,State-based Party,0,1,TRUE,TRUE,TRUE,M,ROHILKHAND,Social Work,,,,FALSE,69.21,213160,59.19,126162,TRUE,AEUP102431,AbdullahAzamMLA,912669372065267714,M.Abdullah Azam Khan,"Member of Legislative Assembly
Samajwadi party 
Uttar Pradesh",FALSE,2017-09-26T13:25:09+00:00,18321,26,434,24,13,128,"Rampur, India",FALSE,https://pbs.twimg.com/profile_images/1107978369512005639/jUuDcmJl_normal.jpg,https://pbs.twimg.com/profile_banners/912669372065267714/1568030075,AbdullahAzamMLA,sp,RAM
46,Akash Saxena (Honey),RAMPUR,37,GEN,1,4,no,RAMPUR,2.08,389985,FALSE,,,71144,76084,32.37,12th Pass,7,0,BJP,1605,National Party,0,2,FALSE,,,M,ROHILKHAND,Business,,,,FALSE,56.35,219757,34.62,76084,TRUE,AEUP2025586,AkashSaxenaBJP,987679368632729601,Akash Saxena,"अंत्योदय ही है मेरा प्रयास, मेरा कर्तव्य। जय हिंद। जय श्री राम।",FALSE,2018-04-21T13:08:06+00:00,2330,105,2112,2620,0,1548,"Rampur, India",FALSE,https://pbs.twimg.com/profile_images/1481590350565482496/rOTqYdjD_normal.jpg,https://pbs.twimg.com/profile_banners/987679368632729601/1616754162,AkashSaxenaBJP,bjp,RAM
36,Faisal Khan,RAMPUR,37,GEN,1,4,yes,RAMPUR,2.08,389985,FALSE,,,649,1817,0.3,Graduate,7,0,AAAP,13,State-based Party,0,5,FALSE,,,M,ROHILKHAND,Other,,,,FALSE,56.35,219757,0.83,1817,TRUE,AEUP2025582,faisalkhanlala,120808687,FAISAL KHAN LALA,"UP Vice President Aam Aadmi Party, Manager Taleem Tarbiyat Welfare Society, Our NGO is Working For Education, Health & Unemployment.
Mob 09760080000",FALSE,2010-03-07T16:28:55+00:00,2744,19,4355,1231,6,1013,"Rampur, Uttar Pradesh, India",FALSE,https://pbs.twimg.com/profile_images/1481330893755416576/SmWN43_k_normal.jpg,https://pbs.twimg.com/profile_banners/120808687/1502352157,faisalkhanlala,aap,RAM
31,Kumar Eklavya,MILAK,38,SC,1,4,yes,RAMPUR,2.7,357898,FALSE,,,1357,2836,0.6,Others,6,0,INC,3482,National Party,0,4,FALSE,,,M,ROHILKHAND,Agriculture,,,,FALSE,63.49,227230,1.25,2836,TRUE,AEUP2025592,kumarEklavya3,716903495710838786,Eklavya Singh,जिला अध्यक्ष युवा कांग्रेस रामपुर उत्तर प्रदेश,FALSE,2016-04-04T08:21:27+00:00,74,173,100,254,0,43,"Rampur, India",FALSE,https://pbs.twimg.com/profile_images/1426720772156923907/Wc4UebT-_normal.jpg,https://pbs.twimg.com/profile_banners/716903495710838786/1628954503,kumarEklavya3,inc,RAM
52,HARPAL SINGH,DHANAURA,39,SC,5,4,no,JYOTIBA PHULE NAGAR,2.86,347493,FALSE,DHANAURA,1605,42589,43974,17.48,Graduate,10,2,BSP,16651,State-based Party,0,3,FALSE,TRUE,FALSE,M,ROHILKHAND,Agriculture,,,,TRUE,70.13,243697,18.04,43974,TRUE,AEUP105785,Harpalsingh_04,1381506057466445829,Harpal Singh ex MLA,पूर्व विधायक विधान सभा हसनपुर(ज़िला अमरोहा) (2007to2012) मिशन -2022 विधानसभा 39 (धनौरा) उत्तरप्रदेश,FALSE,2021-04-12T07:14:59+00:00,368,17,147,5771,0,123,"Gajraula, India",FALSE,https://pbs.twimg.com/profile_images/1484838595827355654/qo-pHYYw_normal.jpg,,Harpalsingh_04,bsp,AMR
52,MANINDER PAL,SIWALKHAS,43,GEN,1,4,no,MEERUT,2.7,339040,FALSE,,,62609,92567,26.79,Graduate Professional,12,0,BJP,1605,National Party,0,2,FALSE,,,M,WEST,Agriculture,,,,FALSE,68.92,233667,39.61,92567,TRUE,AEUP2024764,Maninder1370,778394875288956928,Maninder Pal Singh,"Dist.Co-operative Bank Chairman Meerut,Baghpat.🇮🇳",FALSE,2016-09-21T00:46:15+00:00,2668,482,1523,2798,0,1314,"Meerut, India",FALSE,https://pbs.twimg.com/profile_images/1493109854562504707/ETnQZVsl_normal.jpg,https://pbs.twimg.com/profile_banners/778394875288956928/1642361584,Maninder1370,bjp,MRT
53,Yogesh Verma,HASTINAPUR,45,SC,6,4,no,MEERUT,2.44,344363,FALSE,HASTINAPUR,16651,86035,100275,37.36,12th Pass,8,1,SP,7425,State-based Party,0,2,TRUE,TRUE,FALSE,M,WEST,Business,Rent,Politics,Ex MLA,TRUE,66.87,230276,43.55,100275,TRUE,AEUP102526,BJPYogeshVerma,715131494398689280,Yogesh Verma(MLA),"राष्ट्रहित सर्वोपरि। जनसेवक, स्वयंसेवक।
Official Twitter Handle of Yogesh Verma.
Member of 17th Legislative Assembly(Lakhimpur 142), Uttar Pradesh.",TRUE,2016-03-30T11:00:09+00:00,3250,419,1976,13898,2,634,"Lakhimpur, India",FALSE,https://pbs.twimg.com/profile_images/1495860261508444162/3BHIq3OB_normal.jpg,https://pbs.twimg.com/profile_banners/715131494398689280/1637261784,BJPYogeshVerma,bjp,LAK
49,BABITA GURJAR,KITHORE,46,GEN,1,4,yes,MEERUT,2.7,365489,FALSE,,,677,1589,0.27,Doctorate,13,0,INC,3482,National Party,0,5,FALSE,,,F,WEST,Business,,Agriculture,,FALSE,69.46,253869,0.63,1589,TRUE,AEUP2024797,GURJAR_DRBABITA,1427897438560346117,DR BABITA GURJAR,Congress Leader,FALSE,2021-08-18T07:38:18+00:00,154,103,133,343,0,92,"Meerut, India",FALSE,https://pbs.twimg.com/profile_images/1427898240112812037/Kl03iueN_normal.jpg,https://pbs.twimg.com/profile_banners/1427897438560346117/1629272913,GURJAR_DRBABITA,inc,MRT
60,RAFIQ ANSARI,MEERUT,48,GEN,3,4,no,MEERUT,2.27,313443,TRUE,MEERUT,7425,26065,106395,12.93,8th Pass,12,2,SP,7425,State-based Party,0,1,TRUE,TRUE,TRUE,M,WEST,Business,,,,FALSE,64.33,201638,52.77,106395,TRUE,AEUP100743,Rafiqansarimla,3225448237,Rafiq Ansari MLA 🇮🇳,"विधायक (48,मेरठ शहर विधान सभा),पूर्व राज्य मंत्री (हथकरघा एंव पर्यटन विभाग उ.प्र.सरकार), @samajwadiparty कार्यकर्ता मेरठ 
#Rt are not endorsement.",FALSE,2015-05-24T15:59:59+00:00,12851,972,45132,191614,7,1695,"Meerut, India",FALSE,https://pbs.twimg.com/profile_images/1458780584910544903/Yv8K4tKx_normal.jpg,https://pbs.twimg.com/profile_banners/3225448237/1634011590,Rafiqansarimla,sp,MRT
46,Yogesh Dhama,BAGHPAT,52,GEN,2,4,no,BAGHPAT,2.38,315892,TRUE,BAGHPAT,1605,6733,101420,3.14,Graduate,11,2,BJP,1605,National Party,0,1,TRUE,TRUE,TRUE,M,WEST,Politics,MLA,Agriculture,,FALSE,67.78,214112,47.37,101420,TRUE,AEUP200157,IYogeshDhama,715154747448143872,योगेश धामा,"BJP MLA , Baghpat (Uttar Pradesh)",TRUE,2016-03-30T12:32:33+00:00,7623,793,17126,10102,6,2886,"Bagpat , Uttar Pradesh ",FALSE,https://pbs.twimg.com/profile_images/1463049925646716932/17fyBZx9_normal.jpg,https://pbs.twimg.com/profile_banners/715154747448143872/1518189473,IYogeshDhama,bjp,BAG
46,NANDKISHOR,LONI,53,GEN,3,4,no,GHAZIABAD,3.12,512432,TRUE,LONI,1605,8676,127410,2.75,Post Graduate,10,2,BJP,1605,National Party,0,1,TRUE,TRUE,TRUE,M,WEST,Business,Rent,Politics,MLA,FALSE,61.49,315095,40.44,127410,TRUE,AEUP146927,nkgurjar4bjp,914117741170237440,Nand Kishor Gurjar,"विधायक, लोनी उ•प्र• (भाजपा)|सदस्य,अनुश्रवण समिति, वि●सभा|स्वंयसेवक|गऊसेवक| Believe In'धर्मो रक्षति रक्षितः'🚩।📧nandkishoremlaloni@gmail.com",TRUE,2017-09-30T13:20:27+00:00,14492,1128,13333,22986,4,3444,"Loni, Ghaziabad",FALSE,https://pbs.twimg.com/profile_images/1464227995116208131/kv_57kFx_normal.jpg,https://pbs.twimg.com/profile_banners/914117741170237440/1625599679,nkgurjar4bjp,bjp,GZB
33,MOHD YAMIN MALIK,LONI,53,GEN,1,4,yes,GHAZIABAD,3.12,512432,FALSE,,,103,2049,0.03,10th Pass,10,0,INC,3482,National Party,0,7,FALSE,,,M,WEST,Business,,,,FALSE,61.49,315095,0.65,2049,TRUE,AEUP2024869,GhaziabadYamin,1419756132315238413,Yamin malik Ghaziabad,"दाग लेकर गुलामी का हम क्यों जियें निकले हैं तो मंज़िल को पा जाएंगे         
जिला अध्यक्ष अल्पसंख्यक कांग्रेस गाजियाबाद",FALSE,2021-07-26T20:27:16+00:00,8,18,37,258,0,6,,FALSE,https://pbs.twimg.com/profile_images/1419756603947945999/wdwabqXR_normal.jpg,https://pbs.twimg.com/profile_banners/1419756132315238413/1627331929,GhaziabadYamin,inc,GZB
48,Ajit Pal Tyagi,MURADNAGAR,54,GEN,2,4,no,GHAZIABAD,2.17,459961,TRUE,MURADNAGAR,1605,97095,169290,35.35,Graduate Professional,10,2,BJP,1605,National Party,0,1,TRUE,TRUE,TRUE,M,WEST,Business,"Rent, Private Company",,,FALSE,59.72,274689,61.63,169290,TRUE,AEUP102615,AjitpaltyagiMLA,821291675548950528,Ajitpal Tyagi MLA,"विधायक, 54-मुरादनगर गाजियाबाद, उत्तर प्रदेश 
व पूर्व जिला पंचायत अध्यक्ष ,गाज़ियाबाद ,उत्तर प्रदेश",TRUE,2017-01-17T09:42:49+00:00,1001,317,563,375,1,193,Ghaziabad,FALSE,https://pbs.twimg.com/profile_images/1481543420711940097/T7eTqVdg_normal.jpg,https://pbs.twimg.com/profile_banners/821291675548950528/1635826519,AjitpaltyagiMLA,bjp,GZB
50,CHHAVI YADAV,SAHIBABAD,55,GEN,1,4,yes,GHAZIABAD,2,1024210,FALSE,,,2660,6965,0.55,Doctorate,11,0,AAAP,13,State-based Party,0,5,FALSE,,,F,WEST,Other,,,,FALSE,47.03,481686,1.45,6965,TRUE,AEUP2024888,ChhaviDr,2361249066,Dr Chhavi Yadav,"Psycho Counselor, Speaker
मैं आवाज़ बनूंगी तुम्हारी /

प्रदेश उपाध्यक्ष /आम आदमी पार्टी उ0 प्र0 /

साहिबाबाद विधानसभा (ग़ज़ियाबाद)",FALSE,2014-02-25T15:25:38+00:00,8545,226,5823,4475,7,1732,India,FALSE,https://pbs.twimg.com/profile_images/1477001078948327426/fG2BM3qa_normal.jpg,https://pbs.twimg.com/profile_banners/2361249066/1631402144,ChhaviDr,aap,GZB
29,Pankhuri Pathak,NOIDA,61,GEN,1,4,yes,GAUTAM BUDH NAGAR,1.92,714460,FALSE,,,6943,13494,1.99,Graduate Professional,13,0,INC,3482,National Party,0,4,FALSE,,,F,WEST,Other,,,,FALSE,48.74,348228,3.88,13494,TRUE,AEUP2024960,pankhuripathak,2895357769,Pankhuri Pathak पंखुड़ी पाठक پنکھڑی,"Vice Chairperson Social Media UPCC . Media Panelist INC . Staunch Socialist. History & Law Graduate. Mrs. Anil Yadav. Didi to many. 
Tweets are personal.",TRUE,2014-11-10T05:35:10+00:00,417389,2634,59309,42947,166,2585,"Noida, Uttar Pradesh ",FALSE,https://pbs.twimg.com/profile_images/1479692380781506563/g3BaOjRZ_normal.jpg,https://pbs.twimg.com/profile_banners/2895357769/1626877737,pankhuripathak,inc,GBN
